Round,Round,Pk,Player,College,Yrs,Totals_G,Totals_MP,Totals_PTS,Totals_TRB,Totals_AST,Shooting_FG%,Shooting_3P%,Shooting_FT%,Per Game_MP,Per Game_PTS,Per Game_TRB,Per Game_AST,Advanced_WS,Advanced_WS/48,Advanced_BPM,Advanced_VORP,Year,Group
10,10,9.0,Charles Oakley,Virginia Union University,19,1282,40280,12417,12205,3217,.471,.253,.761,31.4,9.7,9.5,2.5,89.7,.107,-0.5,15.4,1985,1
10,10,10.0,Ed Pinckney,Villanova,12,793,15698,5378,3952,727,.535,.000,.765,19.8,6.8,5.0,0.9,42.7,.130,0.3,9.2,1985,1
10,10,11.0,Keith Lee,Memphis,3,182,2907,1114,861,178,.451,.167,.746,16.0,6.1,4.7,1.0,3.7,.062,-3.0,-0.7,1985,2
10,10,12.0,Kenny Green,Wake Forest,2,60,625,265,101,16,.412,.000,.721,10.4,4.4,1.7,0.3,-0.3,-.022,-7.3,-0.8,1985,2
10,10,13.0,Karl Malone,Louisiana Tech,19,1476,54852,36928,14968,5248,.516,.274,.742,37.2,25.0,10.1,3.6,234.6,.205,5.1,99.0,1985,2
10,10,14.0,Alfredrick Hughes,Loyola Chicago,1,68,866,356,113,61,.409,.176,.583,12.7,5.2,1.7,0.9,-0.5,-.029,-5.7,-0.8,1985,2
10,10,15.0,Blair Rasmussen,Oregon,8,532,11409,5119,3006,467,.472,.257,.767,21.4,9.6,5.7,0.9,19.0,.080,-3.2,-3.4,1985,2
10,10,16.0,Bill Wennington,St. John's,13,720,9740,3301,2148,440,.459,.139,.787,13.5,4.6,3.0,0.6,17.7,.087,-3.7,-4.2,1985,2
10,10,17.0,Uwe Blab,Indiana,5,235,1966,505,413,102,.433,0,.608,8.4,2.1,1.8,0.4,0.4,.009,-5.4,-1.7,1985,2
10,10,18.0,Joe Dumars,McNeese State University,14,1018,35139,16401,2203,4612,.460,.382,.843,34.5,16.1,2.2,4.5,86.2,.118,0.8,25.3,1985,2
10,10,19.0,Steve Harris,Tulsa,5,207,2840,1440,365,238,.434,.050,.842,13.7,7.0,1.8,1.1,3.1,.053,-2.6,-0.4,1985,2
10,10,20.0,Sam Vincent,Michigan State,7,396,7527,3106,819,1543,.449,.182,.863,19.0,7.8,2.1,3.9,10.9,.069,-0.8,2.2,1985,2
10,10,21.0,Terry Catledge,University of South Alabama,8,515,13541,6520,3314,459,.485,.094,.654,26.3,12.7,6.4,0.9,20.9,.074,-2.6,-2.0,1985,3
10,10,22.0,Jerry Reynolds,LSU,8,443,8379,4036,1317,904,.418,.226,.749,18.9,9.1,3.0,2.0,10.5,.060,0.6,5.4,1985,3
10,10,23.0,A.C. Green,Oregon State,16,1278,36552,12331,9473,1400,.494,.254,.734,28.6,9.6,7.4,1.1,99.5,.131,-0.2,16.6,1985,3
10,10,24.0,Terry Porter,University of Wisconsin-Stevens Point,17,1274,35354,15586,3872,7160,.463,.386,.836,27.8,12.2,3.0,5.6,110.4,.150,2.9,43.3,1985,3
2,2,25.0,Mike Smrek,Canisius,7,194,1890,554,422,49,.431,.000,.617,9.7,2.9,2.2,0.3,0.7,.018,-6.1,-1.9,1985,3
2,2,26.0,Bill Martin,Georgetown,3,84,860,397,136,58,.449,.000,.813,10.2,4.7,1.6,0.7,0.3,.016,-4.4,-0.5,1985,3
