fips,year,month_name,unemployment_rate,employment_rate
15,2022,January,3.2,96.8
15,2022,February,3.1,96.9
15,2022,March,3.0,97.0
15,2022,April,3.1,96.9
15,2022,May,3.1,96.9
15,2022,June,3.9,96.1
15,2022,July,3.4,96.6
15,2022,August,3.5,96.5
15,2022,September,3.5,96.5
15,2022,October,3.4,96.6
15,2022,November,3.4,96.6
15,2022,December,2.9,97.1
16,2020,January,3.5,96.5
16,2020,February,3.3,96.7
16,2020,March,3.6,96.4
16,2020,April,11.5,88.5
16,2020,May,9.3,90.7
16,2020,June,7.5,92.5
16,2020,July,6.6,93.4
16,2020,August,4.8,95.2
16,2020,September,4.5,95.5
16,2020,October,3.7,96.3
16,2020,November,4.0,96.0
16,2020,December,4.2,95.8
16,2021,January,4.9,95.1
16,2021,February,5.0,95.0
16,2021,March,4.6,95.4
16,2021,April,3.9,96.1
16,2021,May,3.4,96.6
16,2021,June,3.7,96.3
16,2021,July,3.5,96.5
16,2021,August,3.3,96.7
16,2021,September,2.8,97.2
16,2021,October,2.6,97.4
16,2021,November,2.8,97.2
16,2021,December,2.7,97.3
16,2022,January,3.6,96.4
16,2022,February,3.5,96.5
16,2022,March,3.2,96.8
16,2022,April,2.7,97.3
16,2022,May,2.5,97.5
16,2022,June,2.8,97.2
16,2022,July,2.8,97.2
16,2022,August,2.9,97.1
16,2022,September,2.5,97.5
16,2022,October,2.6,97.4
16,2022,November,2.8,97.2
16,2022,December,2.8,97.2
17,2020,January,4.0,96.0
17,2020,February,3.8,96.2
17,2020,March,5.6,94.4
17,2020,April,17.9,82.1
17,2020,May,14.7,85.3
17,2020,June,12.9,87.1
17,2020,July,11.9,88.1
17,2020,August,9.6,90.4
17,2020,September,9.0,91.0
17,2020,October,7.4,92.6
17,2020,November,7.3,92.7
17,2020,December,7.7,92.3
17,2021,January,7.8,92.2
17,2021,February,7.3,92.7
17,2021,March,6.7,93.3
17,2021,April,6.4,93.6
17,2021,May,6.2,93.8
17,2021,June,7.2,92.8
17,2021,July,6.6,93.4
17,2021,August,6.1,93.9
17,2021,September,5.2,94.8
17,2021,October,4.9,95.1
17,2021,November,4.4,95.6
17,2021,December,4.2,95.8
17,2022,January,5.3,94.7
17,2022,February,5.0,95.0
17,2022,March,4.7,95.3
17,2022,April,4.4,95.6
17,2022,May,4.4,95.6
17,2022,June,5.0,95.0
17,2022,July,4.8,95.2
17,2022,August,4.9,95.1
17,2022,September,4.4,95.6
17,2022,October,4.3,95.7
17,2022,November,4.2,95.8
17,2022,December,4.0,96.0
18,2020,January,3.8,96.2
18,2020,February,3.7,96.3
18,2020,March,4.5,95.5
18,2020,April,16.5,83.5
18,2020,May,12.8,87.2
18,2020,June,10.3,89.7
18,2020,July,9.3,90.7
18,2020,August,6.8,93.2
18,2020,September,6.0,94.0
18,2020,October,5.2,94.8
18,2020,November,5.0,95.0
18,2020,December,4.6,95.4
18,2021,January,5.2,94.8
18,2021,February,5.0,95.0
18,2021,March,4.8,95.2
18,2021,April,4.0,96.0
18,2021,May,4.1,95.9
18,2021,June,4.5,95.5
18,2021,July,4.1,95.9
18,2021,August,3.6,96.4
18,2021,September,3.2,96.8
